timestamp	angle	queries	added	notes
2026-06-05T22:45:00Z	fresh-steam-releases-2026	new co-op campaign games steam 2026 released indie	0	Far Far West already in reeval (EA); Spitchlings hard-block (not on Steam); RV There Yet already in catalog
2026-06-05T22:50:00Z	underrated-indie-coop-2024-2025	underrated indie co-op campaign games steam 2024 2025 hidden two player	0	Popucom already in catalog; It's Only Money already in reeval (finish_unverified); Party Club logged endless (party mini-game no campaign)
2026-06-05T22:55:00Z	genre-gap-tactical-rpg	co-op tactical RPG steam two player campaign with ending	0	All surfaced candidates (Divinity OS 1/2, BG3, Gloomhaven, Wasteland 3) already in catalog
2026-06-05T23:00:00Z	genre-gap-metroidvania	co-op metroidvania steam two player with ending campaign 2025	0	All surfaced candidates (Revenge of Savage Planet, Guacamelee 1/2, Salt and Sanctuary, Sundered, Curse of the Sea Rats) already in catalog
2026-06-05T23:18:00Z	steam-topsellers-coop-campaign	Steam topsellers in Co-op + Co-op Campaign category	0	All hits (Forza H6, PoE2, Subnautica 2, MH Wilds, No Rest, LEGO Batman Legacy, Backrooms Escape Together, Bellwright, Storebound) already in catalog/reeval/blocklist; Grounded 2 in catalog
2026-06-05T23:35:00Z	racing-coop-with-championship-finale	best co-op racing campaign games steam with championship finale 2024 2025	0	GRID Legends → hard-block (no_coop, only PvP); Forza Horizon already catalog; Sonic Racing CrossWorlds hard-block
2026-06-05T23:38:00Z	indie-coop-campaign-steam-2024-2025	co-op campaign PC Steam 2024 2025 indie game ending finite	0	All hits (Peak, Split Fiction, Portal 2, Cult of Lamb, Bellwright, Chained Together, Absolum, RV There Yet, TMNT Splintered, Pico Park 2, In Sink, Sea of Stars) already in catalog/reeval
2026-06-05T23:42:00Z	zombie-coop-campaign	co-op zombie games steam campaign finite story 2024 2025	1	Dead Island 2 catalog; Dead Rising Deluxe Remaster → hard-block (no_coop); Projekt Z → unreleased; Ultimate Zombie Defense wave-based
2026-06-05T23:46:00Z	new-2025-release-couch-coop	new co-op 2025 release campaign story split-screen hidden	1	Cinnabunny ADDED (cozy bunny life sim, soft finish 🟠); Sync or Sink in reeval; Cryptid Mothman Kickstarter
2026-06-05T23:50:00Z	indie-2026-coop-campaign	new co-op 2026 release campaign story hidden gem indie	1	Never Grave ADDED (metroidvania-roguelite, hard final boss); Reanimal already catalog; Everwind EA
2026-06-05T23:53:00Z	tactical-coop-campaign-2025	co-op tactical strategy turn based 2 player campaign finite ending 2025	1	Commandos: Origins ADDED (WWII RTT, 14 missions, story finale); Sunderfolk/Gloomhaven/Across Obelisk/Stolen Realm catalog
2026-06-05T23:56:00Z	story-coop-shooter-2024-2025	online co-op steam shooter 2024 2025 campaign story narrative	0	All hits (Space Marine 2, MH Wilds, Arc Raiders, Helldivers blocklisted) already covered
2026-06-06T00:10:00Z	coop-heist-stealth-2024-2025	co-op heist stealth game steam two player campaign 2024 2025	1	United Heist ADDED (free asymmetric heist puzzler); Thick as Thieves + Hacktag catalog
2026-06-06T00:13:00Z	coop-tower-defense-finite	co-op tower defense steam campaign ending finite 2024 2025	0	17.waves TD (18 reviews) + Fortification (28 reviews) both too few; Legion TD 2 catalog; Orcs Must Die Deathtrap catalog
2026-06-06T00:16:00Z	coop-rhythm-music-2player	co-op rhythm music game steam two player campaign	0	Rhythm Doctor + Super Crazy Rhythm Castle already catalog; no new finds
2026-06-06T00:18:00Z	coop-detective-mystery	co-op detective mystery game steam two player 2024 2025	1	Whispers in the West ADDED (Wild West murder mystery, 70%); Unsolved Case + Parallel Experiment + Past Within already catalog
2026-06-06T00:21:00Z	coop-pirate-ship-2player	co-op pirate ship game steam two player campaign	0	Party Pirates (9 reviews) too few; Tempest Pirate + Windward both endless sandbox sailing; Blackwake/Blazing Sails PvP only
2026-06-06T00:24:00Z	coop-space-crew-ship	co-op space exploration ship crew game steam campaign ending	1	PULSAR Lost Colony ADDED (procedural galaxy with Lost Colony ending); Undercrewed (36 reviews) too few; Void Crew catalog
2026-06-06T00:27:00Z	coop-lovecraftian-cthulhu	co-op Lovecraftian Cthulhu horror game steam campaign two player	1	Eresys ADDED (4-player ritual horror, 64% needs-review); The Mound unreleased July 2026
