id	title	reason	notes
007-first-light	007 First Light	no_coop	Solo Bond stealth game
100-animals-on-an-island	100-animals-on-an-island	no_coop	app 3209400 single-player only
a-dance-of-fire-and-ice	A Dance of Fire and Ice	no_coop	Single-player only per Steam categories
aliens-versus-predator-classic	aliens-versus-predator-classic	no_coop	
anomaly-agent	Anomaly Agent	no_coop	Steam categories list only Single-player; no co-op category present
anomaly-warzone-earth	anomaly-warzone-earth	no_coop	
antonball-deluxe	Antonball Deluxe	pvp_primary	30-stage brick-breaker is SP only; the multiplayer mode is VS. Antonball competitive (1v1, 2v2, 2v1); no dedicated co-op campaign even though categories list Co-op
antonblast	ANTONBLAST	no_coop	Single-player platformer per Steam categories
armored-battle-crew	Armored Battle Crew	no_coop	Single-player only despite article claims; no Co-op/Multi-player categories
astebreed	astebreed	no_coop	
astro-duel	Astro Duel	pvp_primary	PvP party game - Pilot Hunters/Ship Hunters/TDM only, no co-op campaign
ball-x-pit	BALL x PIT	no_coop	no co-op category listed on Steam
barro-racing	Barro Racing	pvp_primary	Multiplayer PvP only (Shared Split PvP + RPT); no Co-op
batman-arkham-knight	Batman: Arkham Knight	no_coop	single-player only [seen 2x; reasons: no_coop]
battlefield-6	Battlefield 6	no_coop	categories list PvP/Online PvP only, no Co-op
battlezone-98-redux	Battlezone 98 Redux	no_coop	Multiplayer is PvP Deathmatch/Strategy; no co-op campaign
battlezone-combat-commander	Battlezone: Combat Commander	no_coop	PvP only per Steam categories; no Co-op tag [seen 3x; reasons: low_fit,no_coop]
beat-saber	Beat Saber	no_coop	VR_single_player_rhythm
beat-the-song	Beat the Song	no_coop	Local split-screen co-op only, no Online Co-op and no Remote Play Together support
beyond-citadel	Beyond Citadel	no_coop	SP only per Steam categories — anime-style retro FPS
billie-bust-up	billie-bust-up	no_coop	Single-player only; also unreleased (release TBA, coming_soon)
blade-chimera	Blade Chimera	no_coop	Metroidvania SP only per genre
blades-of-fire	Blades of Fire	no_coop	Single-player only per Steam categories [seen 2x; reasons: no_coop]
blindsight-war-of-the-wardens	Blindsight: War of the Wardens	no_coop	Single-player only per Steam categories
blood-fresh-supply	Blood Fresh Supply	delisted	Delisted from Steam Dec 2025 in favor of Blood: Refreshed Supply (3884520)
blue-estate	blue-estate	no_coop	
bodycam	Bodycam	pvp_primary	Multiplayer / PvP / Online PvP only — no co-op category. Steam app 2406770.
bpm-bullets-per-minute	bpm-bullets-per-minute	no_coop	
bubsy-4d	Bubsy 4D	no_coop	app 3237970, only Single-player category, no co-op
bullet-party	BULLET PARTY	no_coop	Local split-screen only; Remote Play on Phone/Tablet/TV doesn't enable remote co-op, no RPT or Online
bung-ball	Bung Ball	pvp_primary	Free arena ball game, PvP+Co-op mixed but PvP-primary, garbled description
bunny-hill	Bunny Hill	pvp_primary	8p Online PvP skiing with Time Trial co-op only — competitive skiing, no campaign or finite content
call-of-duty-4-modern-warfare	call-of-duty-4-modern-warfare	no_coop	no co-op campaign; MP is PvP
call-of-duty-black-ops	Call of Duty Black Ops	no_coop	Campaign is single-player only; only co-op mode is Zombies (endless wave-based). Steam app 42700.
campoca	campoca	no_coop	app 3476950 single-player only
capcom-fighting-collection	Capcom Fighting Collection	no_coop	PvP-only categories
cave-story	Cave Story+	no_coop	Steam categories Single-player only; no Co-op/RPT despite article claiming co-op update [seen 3x]
cave-story-plus	cave-story-plus	no_coop	Steam categories list only Single-player; the co-op feature is Switch-only, not present on Steam store page (no Co-op/Remote Play Together category) [seen 8x; reasons: low_fit,no_coop]
chronigma	Chronigma	no_coop	Single-player only per Steam categories — despite 'co-op time travel' framing in articles, store page shows no multi-player tag
cod-black-ops-2	cod-black-ops-2	no_coop	campaign single-player; co-op modes endless zombies
command-and-conquer-red-alert-3	Command & Conquer: Red Alert 3	no_coop	Steam categories list Single-player only on current EA re-release — no co-op category surface
command-conquer-red-alert-3	Command & Conquer Red Alert 3	no_coop	Steam version lists no Co-op/Multi-player category; original GameSpy online co-op campaign defunct [seen 2x; reasons: no_coop,unknown]
company-of-heroes-3	company-of-heroes-3	no_coop	
conflict-denied-ops	Conflict: Denied Ops	no_coop	Steam version is Single-player only [seen 2x; reasons: no_coop,unknown]
control-resonant	CONTROL Resonant	no_coop	Single-player only; 2026 coming soon (Remedy sequel)
counter-strike	counter-strike	no_coop	PvP only
crackdown-3	Crackdown 3	not_on_steam	Microsoft Store/Xbox only, not on Steam [seen 3x; reasons: not_on_steam]
crash-bandicoot-4	Crash Bandicoot 4 It's About Time	no_coop	single-player; only local pass-n-play/PvP, no co-op campaign [seen 2x; reasons: no_coop]
crash-bandicoot-4-it-s-about-time	Crash Bandicoot 4 It's About Time	no_coop	app 1378990, Steam version Single-player only
crash-bandicoot-n-sane-trilogy	crash-bandicoot-n-sane-trilogy	no_coop	single-player platformer collection, no co-op
crawl	Crawl	pvp_primary	App 293780 — Steam categories PvP + Shared/Split Screen PvP only, no co-op category
crazy-wheels	Crazy Wheels	pvp_primary	Multiplayer PvP only (Online + Shared Split); no Co-op category
crimson-desert	Crimson Desert	no_coop	Single-player only per Steam categories
crimzon-clover-world-explosion	Crimzon Clover: World EXplosion	no_coop	Multi-player but no Co-op category; competitive shmup
critical-zone-demo	Critical Zone Demo	invalid_app_id	Demo entry, not the full game
crusader-kings-iii	Crusader Kings III	no_coop	Categories show only PvP/Online PvP - no Co-op category. Grand strategy is PvP-only multiplayer.
curse-of-the-dead-gods	Curse of the Dead Gods	no_coop	Steam categories show single-player only [seen 2x; reasons: no_coop]
cursed-castilla	cursed-castilla	no_coop	
cursed-deal	Cursed Deal	pvp_primary	4v1 asymmetric horror — primary identity is PvP team vs hunter, not co-op campaign; categories list Online PvP first
cyber-shadow	Cyber Shadow	no_coop	Single-player only per Steam categories
cyberbots-full-metal-madness	Cyberbots Full Metal Madness	not_on_steam	1995 Capcom arcade title, not available on Steam
cyberpunk-2077	Cyberpunk 2077	no_coop	CDPR single-player only
daikatana	Daikatana	no_coop	Steam categories single-player only; no co-op campaign
dangerous-waters	Dangerous Waters	no_coop	PvP-only multi-player; no Co-op category
date-everything	Date Everything	no_coop	Single-player only sandbox dating sim per Steam categories
dave-the-diver	dave-the-diver	no_coop	single-player adventure [seen 2x; reasons: no_coop]
dead-cells	Dead Cells	no_coop	app 588650, Single-player only
dead-rising-deluxe-remaster	Dead Rising Deluxe Remaster	no_coop	Steam categories: Single-player only (no Co-op in remaster of DR1, which was SP)
dead-static-drive	Dead Static Drive	no_coop	single_player_only_no_co_op_category_also_38pct_low_quality [seen 2x; reasons: no_coop,not_enough_reviews]
